sent,words
जिसके बाद दोनों पक्षों के बीच जमकर संघर्ष देखने को मिला,"['जिसके', 'बाद', 'दोनों', 'पक्षों', 'के', 'बीच', 'जमकर', 'संघर्ष', 'देखने', 'को', 'मिला']"
"लोग, असिद्धता और विरासत में मिले पाप की वजह से बीमार नहीं होंगे और ना ही वे मरेंगे ।","['लोग,', 'असिद्धता', 'और', 'विरासत', 'में', 'मिले', 'पाप', 'की', 'वजह', 'से', 'बीमार', 'नहीं', 'होंगे', 'और', 'ना', 'ही', 'वे', 'मरेंगे', '।']"
"क्या इसका यह मतलब है कि जिन मसीहियों के पति या पत्नी सच्चाई में नहीं हैं, वे कभी खुश नहीं रह सकते?","['क्या', 'इसका', 'यह', 'मतलब', 'है', 'कि', 'जिन', 'मसीहियों', 'के', 'पति', 'या', 'पत्नी', 'सच्चाई', 'में', 'नहीं', 'हैं,', 'वे', 'कभी', 'खुश', 'नहीं', 'रह', 'सकते?']"
घटना की सूचना मिलने पर रेलवे पुलिस मौके पर पहुंची।,"['घटना', 'की', 'सूचना', 'मिलने', 'पर', 'रेलवे', 'पुलिस', 'मौके', 'पर', 'पहुंची।']"
इसीलिए पूर्वधारणा का शिकार होने की परीक्षा से गुज़रना कठिन है ।,"['इसीलिए', 'पूर्वधारणा', 'का', 'शिकार', 'होने', 'की', 'परीक्षा', 'से', 'गुज़रना', 'कठिन', 'है', '।']"
इसी बीच एक वीडियो ऐसा भी आया जिसमें पीएम मोदी की शालीनता भी दिखाई दी।,"['इसी', 'बीच', 'एक', 'वीडियो', 'ऐसा', 'भी', 'आया', 'जिसमें', 'पीएम', 'मोदी', 'की', 'शालीनता', 'भी', 'दिखाई', 'दी।']"
और यही कभी-कभी एक बड़ी समस्या बन जाता है।,"['और', 'यही', 'कभी-कभी', 'एक', 'बड़ी', 'समस्या', 'बन', 'जाता', 'है।']"
"पशु बेचकर भी नहीं चुका पाया कर्ज, किसान ने दी जान","['पशु', 'बेचकर', 'भी', 'नहीं', 'चुका', 'पाया', 'कर्ज,', 'किसान', 'ने', 'दी', 'जान']"
"हालाँकि हम सलाखों के पीछे थे, फिर भी हम खुश थे ।","['हालाँकि', 'हम', 'सलाखों', 'के', 'पीछे', 'थे,', 'फिर', 'भी', 'हम', 'खुश', 'थे', '।']"
बारूक से हम क्या सबक सीख सकते हैं?,"['बारूक', 'से', 'हम', 'क्या', 'सबक', 'सीख', 'सकते', 'हैं?']"
पाकिस्तान का आरोप है कि जाधव भारत की खुफिया एजेंसी के लिए काम कर रहा है,"['पाकिस्तान', 'का', 'आरोप', 'है', 'कि', 'जाधव', 'भारत', 'की', 'खुफिया', 'एजेंसी', 'के', 'लिए', 'काम', 'कर', 'रहा', 'है']"
रेलवे अधिकारियों का कहना है कि मामले की फॉरेंसिक जांच की जाएगी,"['रेलवे', 'अधिकारियों', 'का', 'कहना', 'है', 'कि', 'मामले', 'की', 'फॉरेंसिक', 'जांच', 'की', 'जाएगी']"
"उन्होंने कहा, ‘‘मैं कैसी गेंदबाजी करूं, यह बल्लेबाज पर निर्भर करता है","['उन्होंने', 'कहा,', '‘‘मैं', 'कैसी', 'गेंदबाजी', 'करूं,', 'यह', 'बल्लेबाज', 'पर', 'निर्भर', 'करता', 'है']"
पक्षियों के परों का एक और काम है ।,"['पक्षियों', 'के', 'परों', 'का', 'एक', 'और', 'काम', 'है', '।']"
कर्ज के बोझ तले दबा किसान आत्महत्या करने को मजबूर,"['कर्ज', 'के', 'बोझ', 'तले', 'दबा', 'किसान', 'आत्महत्या', 'करने', 'को', 'मजबूर']"
लड़की के परिजनों ने पुलिस के पास जाकर आरोपी के खिलाफ कड़ी कार्रवाई करने की शिकायत दर्ज कराई है।,"['लड़की', 'के', 'परिजनों', 'ने', 'पुलिस', 'के', 'पास', 'जाकर', 'आरोपी', 'के', 'खिलाफ', 'कड़ी', 'कार्रवाई', 'करने', 'की', 'शिकायत', 'दर्ज', 'कराई', 'है।']"
हादसे के बाद चालक कंटेनर छोड़कर मौके से फरार हो गया।,"['हादसे', 'के', 'बाद', 'चालक', 'कंटेनर', 'छोड़कर', 'मौके', 'से', 'फरार', 'हो', 'गया।']"
यही सेवा जो मुझे प्रभु यीशु से मिली थी कि परमेश्‍वर की महा - कृपा के बारे में खुशखबरी की अच्छी गवाही दूँ । ’,"['यही', 'सेवा', 'जो', 'मुझे', 'प्रभु', 'यीशु', 'से', 'मिली', 'थी', 'कि', 'परमेश्\u200dवर', 'की', 'महा', '-', 'कृपा', 'के', 'बारे', 'में', 'खुशखबरी', 'की', 'अच्छी', 'गवाही', 'दूँ', '।', '’']"
‘रविदास मंदिर’ गिराए जाने के खिलाफ दलित समुदाय के हजारों लोगों ने किया प्रदर्शन,"['‘रविदास', 'मंदिर’', 'गिराए', 'जाने', 'के', 'खिलाफ', 'दलित', 'समुदाय', 'के', 'हजारों', 'लोगों', 'ने', 'किया', 'प्रदर्शन']"
कपिल शर्मा के शो में अपनी फिल्म का प्रमोशन नहीं करेंगे सुनील ग्रोवर,"['कपिल', 'शर्मा', 'के', 'शो', 'में', 'अपनी', 'फिल्म', 'का', 'प्रमोशन', 'नहीं', 'करेंगे', 'सुनील', 'ग्रोवर']"
हम दोनों देशों ने उपनिवेशवाद के विरूद्ध संघर्ष किया है।,"['हम', 'दोनों', 'देशों', 'ने', 'उपनिवेशवाद', 'के', 'विरूद्ध', 'संघर्ष', 'किया', 'है।']"
बेशक यह मूरत इसलिए बनायी गयी थी कि देखनेवाले हरेक के दिल में उस राजा के लिए श्रद्धा पैदा हो ।,"['बेशक', 'यह', 'मूरत', 'इसलिए', 'बनायी', 'गयी', 'थी', 'कि', 'देखनेवाले', 'हरेक', 'के', 'दिल', 'में', 'उस', 'राजा', 'के', 'लिए', 'श्रद्धा', 'पैदा', 'हो', '।']"
पेस्ट को गुनगुने पानी से छुड़ाकर साफ कपड़े से पोछ लें,"['पेस्ट', 'को', 'गुनगुने', 'पानी', 'से', 'छुड़ाकर', 'साफ', 'कपड़े', 'से', 'पोछ', 'लें']"
"कई लोग जब अपनी ज़िंदगी के बीते दिन याद करते हैं, तो पूछते हैं: “क्या इसी को ज़िंदगी कहते हैं? ”","['कई', 'लोग', 'जब', 'अपनी', 'ज़िंदगी', 'के', 'बीते', 'दिन', 'याद', 'करते', 'हैं,', 'तो', 'पूछते', 'हैं:', '“क्या', 'इसी', 'को', 'ज़िंदगी', 'कहते', 'हैं?', '”']"
"प्रतीति की । ” इस्राएली पुरुषों ने मूसा के साथ विजय गीत गाया, मरियम और दूसरी स्त्रियाँ भी डफ लिए नाचती हुईं उनके पीछे हो ली थीं ।","['प्रतीति', 'की', '।', '”', 'इस्राएली', 'पुरुषों', 'ने', 'मूसा', 'के', 'साथ', 'विजय', 'गीत', 'गाया,', 'मरियम', 'और', 'दूसरी', 'स्त्रियाँ', 'भी', 'डफ', 'लिए', 'नाचती', 'हुईं', 'उनके', 'पीछे', 'हो', 'ली', 'थीं', '।']"
वहीं सुरक्षा बलों की तैनाती की गई है।,"['वहीं', 'सुरक्षा', 'बलों', 'की', 'तैनाती', 'की', 'गई', 'है।']"
घायलों को इलाज के लिए नजदीकी अस्पतालों में भर्ती कराया गया है।,"['घायलों', 'को', 'इलाज', 'के', 'लिए', 'नजदीकी', 'अस्पतालों', 'में', 'भर्ती', 'कराया', 'गया', 'है।']"
"अधिकारियों के अनुसार, जम्मू शहर पूरी तरह बंद है और सड़कों पर कोई वाहन नहीं है","['अधिकारियों', 'के', 'अनुसार,', 'जम्मू', 'शहर', 'पूरी', 'तरह', 'बंद', 'है', 'और', 'सड़कों', 'पर', 'कोई', 'वाहन', 'नहीं', 'है']"
स्थानीय अदालत में पेश करने के बाद आरोपी को केंद्रीय कारागार भेज दिया गया।,"['स्थानीय', 'अदालत', 'में', 'पेश', 'करने', 'के', 'बाद', 'आरोपी', 'को', 'केंद्रीय', 'कारागार', 'भेज', 'दिया', 'गया।']"
पुलिस ने तस्कर के खिलाफ मादक द्रव्य अधिनियम के तहत मामला दर्ज किया है।,"['पुलिस', 'ने', 'तस्कर', 'के', 'खिलाफ', 'मादक', 'द्रव्य', 'अधिनियम', 'के', 'तहत', 'मामला', 'दर्ज', 'किया', 'है।']"
□ किस तरह की किताबों को “बहुत पढ़ना ” बेकार होगा?,"['□', 'किस', 'तरह', 'की', 'किताबों', 'को', '“बहुत', 'पढ़ना', '”', 'बेकार', 'होगा?']"
 वह जो इसका हकदार है । ”,"['', 'वह', 'जो', 'इसका', 'हकदार', 'है', '।', '”']"
फिलहाल पुलिस आसपास में लगे सीसीटीवी कैमरों से फुटेज निकलवाकर बदमाशों तक पहुंचने का प्रयास कर रही है।,"['फिलहाल', 'पुलिस', 'आसपास', 'में', 'लगे', 'सीसीटीवी', 'कैमरों', 'से', 'फुटेज', 'निकलवाकर', 'बदमाशों', 'तक', 'पहुंचने', 'का', 'प्रयास', 'कर', 'रही', 'है।']"
7 प्रतिशत की दर से बढ़ोतरी हुई है।,"['7', 'प्रतिशत', 'की', 'दर', 'से', 'बढ़ोतरी', 'हुई', 'है।']"
घटना की सूचना मिलने पर पांडेसरा पुलिस मौके पर पहुंच गई।,"['घटना', 'की', 'सूचना', 'मिलने', 'पर', 'पांडेसरा', 'पुलिस', 'मौके', 'पर', 'पहुंच', 'गई।']"
उन्होंने 24 मार्च को विभिन्न प्रिंट मीडिया समूहों के प्रमुखों के साथ बातचीत की।,"['उन्होंने', '24', 'मार्च', 'को', 'विभिन्न', 'प्रिंट', 'मीडिया', 'समूहों', 'के', 'प्रमुखों', 'के', 'साथ', 'बातचीत', 'की।']"
पारा 30 डिग्री के आस-पास रह सकता है।,"['पारा', '30', 'डिग्री', 'के', 'आस-पास', 'रह', 'सकता', 'है।']"
दुष्कर्मी दे रहे हैं मां-बेटी को जान से मारने की धमकी,"['दुष्कर्मी', 'दे', 'रहे', 'हैं', 'मां-बेटी', 'को', 'जान', 'से', 'मारने', 'की', 'धमकी']"
कांग्रेस प्रदेशाध्यक्ष सुनील जाखड़ ने कहा कि डा,"['कांग्रेस', 'प्रदेशाध्यक्ष', 'सुनील', 'जाखड़', 'ने', 'कहा', 'कि', 'डा']"
बैठक की अध्यक्षता केंद्रीय वित्त मंत्री अरुण जेटली कर रहे हैं।,"['बैठक', 'की', 'अध्यक्षता', 'केंद्रीय', 'वित्त', 'मंत्री', 'अरुण', 'जेटली', 'कर', 'रहे', 'हैं।']"
आटो की चपेट में आने से मोटरसाइकिल सवार की मौत,"['आटो', 'की', 'चपेट', 'में', 'आने', 'से', 'मोटरसाइकिल', 'सवार', 'की', 'मौत']"
"गेहूं की खरीद फिर शुरू, किसानों को राहत","['गेहूं', 'की', 'खरीद', 'फिर', 'शुरू,', 'किसानों', 'को', 'राहत']"
उन्होंने कहा कि इस हमले के दोषियों पर उनकी सरकार कड़ी कार्रवाई करेगी।,"['उन्होंने', 'कहा', 'कि', 'इस', 'हमले', 'के', 'दोषियों', 'पर', 'उनकी', 'सरकार', 'कड़ी', 'कार्रवाई', 'करेगी।']"
"इस अवसर पर जगदेव सिंह जस्सोवाल, ज्ञानी केवल सिंह, डा","['इस', 'अवसर', 'पर', 'जगदेव', 'सिंह', 'जस्सोवाल,', 'ज्ञानी', 'केवल', 'सिंह,', 'डा']"
अनुचित-आचरण कर रहे अनुप्रयोग को जबर्दस्ती बाहर करें,"['अनुचित-आचरण', 'कर', 'रहे', 'अनुप्रयोग', 'को', 'जबर्दस्ती', 'बाहर', 'करें']"
सोनम ने ट्वीट कर लिखा- ये तीसरी बार है जब मैंने ब्रिटिश एयरवेज से इस महीने ट्रैवल किया,"['सोनम', 'ने', 'ट्वीट', 'कर', 'लिखा-', 'ये', 'तीसरी', 'बार', 'है', 'जब', 'मैंने', 'ब्रिटिश', 'एयरवेज', 'से', 'इस', 'महीने', 'ट्रैवल', 'किया']"
नाबालिग बेटी से छेड़छाट के आरोप में कलयुगी पिता गिरफ्तार,"['नाबालिग', 'बेटी', 'से', 'छेड़छाट', 'के', 'आरोप', 'में', 'कलयुगी', 'पिता', 'गिरफ्तार']"
सिर्फ बाइबल ही भविष्य के बारे में भरोसेमंद समझ देती है ।,"['सिर्फ', 'बाइबल', 'ही', 'भविष्य', 'के', 'बारे', 'में', 'भरोसेमंद', 'समझ', 'देती', 'है', '।']"
स्मृति ने पूछा कि क्या सोनिया गांधी किसान हैं?,"['स्मृति', 'ने', 'पूछा', 'कि', 'क्या', 'सोनिया', 'गांधी', 'किसान', 'हैं?']"
"उसके मन में घमंड तब भी पैदा हो सकता है जब दूसरे उसकी कामयाबी पर, बुद्धि, या काबिलीयत के लिए उसकी तारीफ करें ।","['उसके', 'मन', 'में', 'घमंड', 'तब', 'भी', 'पैदा', 'हो', 'सकता', 'है', 'जब', 'दूसरे', 'उसकी', 'कामयाबी', 'पर,', 'बुद्धि,', 'या', 'काबिलीयत', 'के', 'लिए', 'उसकी', 'तारीफ', 'करें', '।']"
पठानकोट में हुए हमले के बाद देश में जगह-जगह पाकिस्तान के खिलाफ विरोध और प्रदर्शन किये गए,"['पठानकोट', 'में', 'हुए', 'हमले', 'के', 'बाद', 'देश', 'में', 'जगह-जगह', 'पाकिस्तान', 'के', 'खिलाफ', 'विरोध', 'और', 'प्रदर्शन', 'किये', 'गए']"
मल्टीप्लेक्स की ज़मीनी कवरेज भी बढ़ा दी गई है।,"['मल्टीप्लेक्स', 'की', 'ज़मीनी', 'कवरेज', 'भी', 'बढ़ा', 'दी', 'गई', 'है।']"
स्थानीय पुलिस घटना की जांच कर रही है,"['स्थानीय', 'पुलिस', 'घटना', 'की', 'जांच', 'कर', 'रही', 'है']"
राजकुमार इस फिल्म में डबल रोल निभाते नजर आएंगे।,"['राजकुमार', 'इस', 'फिल्म', 'में', 'डबल', 'रोल', 'निभाते', 'नजर', 'आएंगे।']"
पार्टी ने ऐसे 190 लोगों की सूची जारी की है जिनकी मौत सदमे के कारण हुई और कहा है कि सदमे के कारण हुई मौत का आंकड़ा 470 है।,"['पार्टी', 'ने', 'ऐसे', '190', 'लोगों', 'की', 'सूची', 'जारी', 'की', 'है', 'जिनकी', 'मौत', 'सदमे', 'के', 'कारण', 'हुई', 'और', 'कहा', 'है', 'कि', 'सदमे', 'के', 'कारण', 'हुई', 'मौत', 'का', 'आंकड़ा', '470', 'है।']"
4 करोड़ की हेरोइन के साथ दंपति गिरफ्तार,"['4', 'करोड़', 'की', 'हेरोइन', 'के', 'साथ', 'दंपति', 'गिरफ्तार']"
यह दौर सन्‌ 1914 से शुरू हो चुका है । — लूका 18: 8,"['यह', 'दौर', 'सन्\u200c', '1914', 'से', 'शुरू', 'हो', 'चुका', 'है', '।', '—', 'लूका', '18:', '8']"
मैं आप सभी का स्वागत भी करता हूं और अभिनंदन भी।,"['मैं', 'आप', 'सभी', 'का', 'स्वागत', 'भी', 'करता', 'हूं', 'और', 'अभिनंदन', 'भी।']"
इस पेस्ट को चेहरे एवं गर्दन पर लगायें।,"['इस', 'पेस्ट', 'को', 'चेहरे', 'एवं', 'गर्दन', 'पर', 'लगायें।']"
"प्री प्राईमरी स्कूल में जीसीपीएस न्यू कालोनी, समूहगान में डीएवी आर्य समाज प्रथम, राजकीय प्राथमिक पाठशाला मंगवाईं द्वितीय व एंग्लो संस्कृत स्कूल नेला एवं एसवीएम तृतीय स्थान पर रहे।","['प्री', 'प्राईमरी', 'स्कूल', 'में', 'जीसीपीएस', 'न्यू', 'कालोनी,', 'समूहगान', 'में', 'डीएवी', 'आर्य', 'समाज', 'प्रथम,', 'राजकीय', 'प्राथमिक', 'पाठशाला', 'मंगवाईं', 'द्वितीय', 'व', 'एंग्लो', 'संस्कृत', 'स्कूल', 'नेला', 'एवं', 'एसवीएम', 'तृतीय', 'स्थान', 'पर', 'रहे।']"
ऐसा नहीं है कि सब कुछ बहुत आसान है,"['ऐसा', 'नहीं', 'है', 'कि', 'सब', 'कुछ', 'बहुत', 'आसान', 'है']"
ऐसे सत्र शायद घंटों चलें और इन्हें बारंबार आयोजित किया जाता है — अनेक पुरुष इस आदत में रोज़ शामिल होते हैं ।,"['ऐसे', 'सत्र', 'शायद', 'घंटों', 'चलें', 'और', 'इन्हें', 'बारंबार', 'आयोजित', 'किया', 'जाता', 'है', '—', 'अनेक', 'पुरुष', 'इस', 'आदत', 'में', 'रोज़', 'शामिल', 'होते', 'हैं', '।']"
"लेकिन, बाइबल ने बच्चों के पालन - पोषण पर हमेशा से स्पष्ट, उचित सलाह दी है ।","['लेकिन,', 'बाइबल', 'ने', 'बच्चों', 'के', 'पालन', '-', 'पोषण', 'पर', 'हमेशा', 'से', 'स्पष्ट,', 'उचित', 'सलाह', 'दी', 'है', '।']"
"google pay यूजर्स के लिए खुशखबरी, अब डेबिट और क्रेडिट कार्ड से करें कॉन्टैक्टलेस पेमेंट","['google', 'pay', 'यूजर्स', 'के', 'लिए', 'खुशखबरी,', 'अब', 'डेबिट', 'और', 'क्रेडिट', 'कार्ड', 'से', 'करें', 'कॉन्टैक्टलेस', 'पेमेंट']"
"उसने बिनती की: “हे पिता, इन्हें क्षमा कर, क्योंकि ये जानते नहीं कि क्या कर रहे हैं । ”","['उसने', 'बिनती', 'की:', '“हे', 'पिता,', 'इन्हें', 'क्षमा', 'कर,', 'क्योंकि', 'ये', 'जानते', 'नहीं', 'कि', 'क्या', 'कर', 'रहे', 'हैं', '।', '”']"
"इस घटना में 10 लोगों की मौत हो चुकी है, जबकि 16 लोग घायल हुए हैं।","['इस', 'घटना', 'में', '10', 'लोगों', 'की', 'मौत', 'हो', 'चुकी', 'है,', 'जबकि', '16', 'लोग', 'घायल', 'हुए', 'हैं।']"
"निजी इकाई द्वारा ट्रेनों के परिचालन में समय-पालन, विश्वसनीयता, ट्रेनों के रखरखाव आदि प्रदर्शन के प्रमुख संकेतकों का ध्यान रखना होगा।","['निजी', 'इकाई', 'द्वारा', 'ट्रेनों', 'के', 'परिचालन', 'में', 'समय-पालन,', 'विश्वसनीयता,', 'ट्रेनों', 'के', 'रखरखाव', 'आदि', 'प्रदर्शन', 'के', 'प्रमुख', 'संकेतकों', 'का', 'ध्यान', 'रखना', 'होगा।']"
दिल्ली में आने वाले लोकसभा चुनाव के मद्देनजर कांग्रेस पार्टी ने अपने प्रचार अभियान में तेजी दिखानी शुरू कर दी है,"['दिल्ली', 'में', 'आने', 'वाले', 'लोकसभा', 'चुनाव', 'के', 'मद्देनजर', 'कांग्रेस', 'पार्टी', 'ने', 'अपने', 'प्रचार', 'अभियान', 'में', 'तेजी', 'दिखानी', 'शुरू', 'कर', 'दी', 'है']"
 दृश्य प्रोफ़ाइल लोड करने से ये बन्द हो जाएँगे,"['', 'दृश्य', 'प्रोफ़ाइल', 'लोड', 'करने', 'से', 'ये', 'बन्द', 'हो', 'जाएँगे']"
खालिस्तानी अलगाववादी गुरपतवंत सिंह पन्नुन का अकाउंट वॉट्सएप ने ब्लॉक किया,"['खालिस्तानी', 'अलगाववादी', 'गुरपतवंत', 'सिंह', 'पन्नुन', 'का', 'अकाउंट', 'वॉट्सएप', 'ने', 'ब्लॉक', 'किया']"
"और वे जिस तरह अपनी राय ज़ाहिर करते हैं, उसका असर काफी हद तक उनकी शादी पर पड़ता है ।","['और', 'वे', 'जिस', 'तरह', 'अपनी', 'राय', 'ज़ाहिर', 'करते', 'हैं,', 'उसका', 'असर', 'काफी', 'हद', 'तक', 'उनकी', 'शादी', 'पर', 'पड़ता', 'है', '।']"
एक अंतहीन लूप में छवियों के अनुक्रम दिखाया जाए या नहीं,"['एक', 'अंतहीन', 'लूप', 'में', 'छवियों', 'के', 'अनुक्रम', 'दिखाया', 'जाए', 'या', 'नहीं']"
'' धोनी ने साफ किया कि टीम के चयन के मामले में वह सिर्फ चयनकर्ताओं से बात करेंगे और प्रेस कांफ्रेंस में कुछ नहीं बोलेंगे।,"[""''"", 'धोनी', 'ने', 'साफ', 'किया', 'कि', 'टीम', 'के', 'चयन', 'के', 'मामले', 'में', 'वह', 'सिर्फ', 'चयनकर्ताओं', 'से', 'बात', 'करेंगे', 'और', 'प्रेस', 'कांफ्रेंस', 'में', 'कुछ', 'नहीं', 'बोलेंगे।']"
सितंबर माह में प्रत्येक रविवार के अलावा दूसरे और चौथे शनिवार को बैंकों का सार्वजनिक अवकाश रहेगा।,"['सितंबर', 'माह', 'में', 'प्रत्येक', 'रविवार', 'के', 'अलावा', 'दूसरे', 'और', 'चौथे', 'शनिवार', 'को', 'बैंकों', 'का', 'सार्वजनिक', 'अवकाश', 'रहेगा।']"
फिर अचानक उसकी बॉल एक फूलदान से जा टकराती है और फूलदान गिरकर टूट जाता है ।,"['फिर', 'अचानक', 'उसकी', 'बॉल', 'एक', 'फूलदान', 'से', 'जा', 'टकराती', 'है', 'और', 'फूलदान', 'गिरकर', 'टूट', 'जाता', 'है', '।']"
इसका एक वीडियो सोशल मीडिया पर वायरल है।,"['इसका', 'एक', 'वीडियो', 'सोशल', 'मीडिया', 'पर', 'वायरल', 'है।']"
"पति, पत्नी का मुखिया है और अगर वह एक पिता भी है, तो बच्चों को सिखाने की ज़िम्मेदारी खासकर उसी की बनती है ।","['पति,', 'पत्नी', 'का', 'मुखिया', 'है', 'और', 'अगर', 'वह', 'एक', 'पिता', 'भी', 'है,', 'तो', 'बच्चों', 'को', 'सिखाने', 'की', 'ज़िम्मेदारी', 'खासकर', 'उसी', 'की', 'बनती', 'है', '।']"
इस युवक से पुलिस ने 110 ग्राम चरस बरामद की है।,"['इस', 'युवक', 'से', 'पुलिस', 'ने', '110', 'ग्राम', 'चरस', 'बरामद', 'की', 'है।']"
" मनुष्य तो बाहर का रूप देखता है, परन्तु यहोवा की दृष्टि मन पर रहती है । ” — 1 शमूएल 16: 7","['', 'मनुष्य', 'तो', 'बाहर', 'का', 'रूप', 'देखता', 'है,', 'परन्तु', 'यहोवा', 'की', 'दृष्टि', 'मन', 'पर', 'रहती', 'है', '।', '”', '—', '1', 'शमूएल', '16:', '7']"
उन्होंने कहा कि पाकिस्तान की जवाबी कार्रवाई में हताहत हुए लोगों को तत्काल पता नहीं चला।,"['उन्होंने', 'कहा', 'कि', 'पाकिस्तान', 'की', 'जवाबी', 'कार्रवाई', 'में', 'हताहत', 'हुए', 'लोगों', 'को', 'तत्काल', 'पता', 'नहीं', 'चला।']"
यहां भारी तादाद में सैलानी आ रहे हैं।,"['यहां', 'भारी', 'तादाद', 'में', 'सैलानी', 'आ', 'रहे', 'हैं।']"
ढाबे में किसी तरह का कोई भी नुकसान नहीं हुआ है।,"['ढाबे', 'में', 'किसी', 'तरह', 'का', 'कोई', 'भी', 'नुकसान', 'नहीं', 'हुआ', 'है।']"
इन दोनों मुद्दों पर सरकार का जोर रहा है।,"['इन', 'दोनों', 'मुद्दों', 'पर', 'सरकार', 'का', 'जोर', 'रहा', 'है।']"
"दुनिया के किसी भी कोने में जाओ, आज योग की धूम मची हुई है।","['दुनिया', 'के', 'किसी', 'भी', 'कोने', 'में', 'जाओ,', 'आज', 'योग', 'की', 'धूम', 'मची', 'हुई', 'है।']"
युक्ति के लिए पासफ्रेज और गोपन विकल्प का प्रबंधन करने के लिए बंद करें,"['युक्ति', 'के', 'लिए', 'पासफ्रेज', 'और', 'गोपन', 'विकल्प', 'का', 'प्रबंधन', 'करने', 'के', 'लिए', 'बंद', 'करें']"
अधिकारियों ने बताया कि प्रभावित इलाकों में राहत और बचाव का कार्य जारी है।,"['अधिकारियों', 'ने', 'बताया', 'कि', 'प्रभावित', 'इलाकों', 'में', 'राहत', 'और', 'बचाव', 'का', 'कार्य', 'जारी', 'है।']"
अच्छा वक़्त और बुरा वक़्त ज़िंदगी के दो पहलु होते है,"['अच्छा', 'वक़्त', 'और', 'बुरा', 'वक़्त', 'ज़िंदगी', 'के', 'दो', 'पहलु', 'होते', 'है']"
यात्रा देशाटन की स्थिति सुखद एवं उत्साहवर्धक होगी।,"['यात्रा', 'देशाटन', 'की', 'स्थिति', 'सुखद', 'एवं', 'उत्साहवर्धक', 'होगी।']"
उसे अदालत में पेश किर रिमांड पर लिया।,"['उसे', 'अदालत', 'में', 'पेश', 'किर', 'रिमांड', 'पर', 'लिया।']"
bjp में शामिल हुए कांग्रेस और 'आप' नेता,"['bjp', 'में', 'शामिल', 'हुए', 'कांग्रेस', 'और', ""'आप'"", 'नेता']"
पुलिस ने मृतक के शव को कब्जे में ले सामान्य अस्पताल के शव गृह में रखवा दिया है।,"['पुलिस', 'ने', 'मृतक', 'के', 'शव', 'को', 'कब्जे', 'में', 'ले', 'सामान्य', 'अस्पताल', 'के', 'शव', 'गृह', 'में', 'रखवा', 'दिया', 'है।']"
हम ऐसे प्यारे भाई - बहनों की वाकई दिल से कदर करते हैं!,"['हम', 'ऐसे', 'प्यारे', 'भाई', '-', 'बहनों', 'की', 'वाकई', 'दिल', 'से', 'कदर', 'करते', 'हैं!']"
"इस सेल में oneplus 6t के 8gb+128gb स्टोरेज वेरिएंट को अब तक के सबसे कम कीमत rs 27,999 में बेचा जा सकता है।","['इस', 'सेल', 'में', 'oneplus', '6t', 'के', '8gb+128gb', 'स्टोरेज', 'वेरिएंट', 'को', 'अब', 'तक', 'के', 'सबसे', 'कम', 'कीमत', 'rs', '27,999', 'में', 'बेचा', 'जा', 'सकता', 'है।']"
कोरोना वायरस का प्रकोप दिन पर दिन बढ़ता जा रहा है,"['कोरोना', 'वायरस', 'का', 'प्रकोप', 'दिन', 'पर', 'दिन', 'बढ़ता', 'जा', 'रहा', 'है']"
"शॉन पोलक, माइकल होल्डिंग, ईशा गुहा, पोमी म्‍बांग्‍वा, साइमन डुल, ईयान स्मिथ, रमीज राजा, अतहर अली खान और इयान वार्ड जैसे दिग्ग्ज खिलाड़ी भी कमेंट्री करते नजर आएंगे।","['शॉन', 'पोलक,', 'माइकल', 'होल्डिंग,', 'ईशा', 'गुहा,', 'पोमी', 'म्\u200dबांग्\u200dवा,', 'साइमन', 'डुल,', 'ईयान', 'स्मिथ,', 'रमीज', 'राजा,', 'अतहर', 'अली', 'खान', 'और', 'इयान', 'वार्ड', 'जैसे', 'दिग्ग्ज', 'खिलाड़ी', 'भी', 'कमेंट्री', 'करते', 'नजर', 'आएंगे।']"
यहोवा का सबसे खास गुण प्रेम है ।,"['यहोवा', 'का', 'सबसे', 'खास', 'गुण', 'प्रेम', 'है', '।']"
मै एक बहुत खूबसूरत फिल्म देख रहा हूँ ,"['मै', 'एक', 'बहुत', 'खूबसूरत', 'फिल्म', 'देख', 'रहा', 'हूँ', '']"
"ऐसा होने पर भी, इस इनाम का बहुत गहरा अर्थ था ।","['ऐसा', 'होने', 'पर', 'भी,', 'इस', 'इनाम', 'का', 'बहुत', 'गहरा', 'अर्थ', 'था', '।']"
किसानों को ब्याज सबवेंशन और शीघ्र पुनर्भुगतान प्रोत्साहन का लाभ भी मिलेगा।,"['किसानों', 'को', 'ब्याज', 'सबवेंशन', 'और', 'शीघ्र', 'पुनर्भुगतान', 'प्रोत्साहन', 'का', 'लाभ', 'भी', 'मिलेगा।']"
"ईसवी सन्‌ 33 में पिन्तेकुस्त के दिन, यहोवा ने इसराएल राष्ट्र के बजाय, एक नए संगठन पर अपनी मंज़ूरी दी ।","['ईसवी', 'सन्\u200c', '33', 'में', 'पिन्तेकुस्त', 'के', 'दिन,', 'यहोवा', 'ने', 'इसराएल', 'राष्ट्र', 'के', 'बजाय,', 'एक', 'नए', 'संगठन', 'पर', 'अपनी', 'मंज़ूरी', 'दी', '।']"
59\\xa0 रुपये प्रति लीटर पर और डीजल भी अपने पुराने भाव 62,"['59\\\\xa0', 'रुपये', 'प्रति', 'लीटर', 'पर', 'और', 'डीजल', 'भी', 'अपने', 'पुराने', 'भाव', '62']"
